appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
341640,"Relativity Wars - A Science Space RTS","game",6.99,"2015-04-10 00:00:00",-1,0,0
222077,"Rocksmith - The Strokes - Last Nite","dlc",2.99,"2013-01-22 00:00:00",-1,0,0
273740,"Extreme Roads USA","game",9.99,"2014-06-06 00:00:00",-1,0,0
453030,"The Fifth Expedition","game",9.99,"2016-04-07 00:00:00",-1,0,0
369764,"Rocksmith® 2014 – Primus - “Tommy the Cat”","dlc",2.99,"2015-06-23 00:00:00",-1,0,0
207420,"Wizorb","game",2.99,"2012-03-14 00:00:00",81,0,0
406440,"Vanguard Princess Kurumi","dlc",3.99,"2015-10-12 00:00:00",-1,0,0
446640,"Space Pilgrim Episode IV: Sol","game",1.99,"2016-03-04 00:00:00",-1,0,0
208844,"Magic 2013 “Mana Mastery” Foil Conversion","dlc",0.99,"2013-01-09 00:00:00",-1,0,1
422280,"Before The Storm Soundtrack","dlc",6.99,"2015-11-24 00:00:00",-1,0,0
234791,"Call of Duty®: Black Ops II - Pack-A-Punch Personalization Pack","dlc",1.99,"2013-08-22 00:00:00",-1,17,1
466880,"Techwars Online - Premium Expansion Pack","dlc",1.99,"2016-04-29 00:00:00",-1,0,1
210901,"Crusader Kings II: Songs of Byzantium ","dlc",0.99,"2012-10-16 00:00:00",-1,0,1
360350,"FSX: Steam Edition - Battle of Britain: Spitfire Add-On","dlc",19.99,"2015-05-19 00:00:00",-1,0,1
73187,"Cities in Motion: US Cities","dlc",4.99,"2012-01-17 00:00:00",-1,0,0
349650,"Tokyo Hosto","game",4.99,"2015-06-02 00:00:00",-1,0,0
4820,"Heroes... Multiplayer Demo","demo",0,"2007-03-06 00:00:00",65,0,1
219,"Half-Life 2: Demo","demo",0,"2004-12-01 00:00:00",96,0,0
233210,"Air Conflicts: Vietnam","game",17.99,"2013-10-02 00:00:00",43,0,1
362710,"fault milestone two Demo","demo",0,"2015-04-09 00:00:00",-1,0,0
370720,"Hawken - Sharpshooter Complete Pack","dlc",19.99,"2015-05-13 00:00:00",-1,0,1
242050,"Assassin’s Creed® IV Black Flag™","game",29.99,"2013-11-19 00:00:00",-1,18,1
224166,"Borderlands 2: Siren Glitter and Gore Pack","dlc",0.99,"2013-07-02 00:00:00",-1,17,0
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade","game",12.99,"2007-08-07 00:00:00",87,17,1
448880,"Spells 'n' Stuff","game",10.99,"2016-04-04 00:00:00",-1,0,1
203970,"Kingdoms of Amalur: Reckoning™ Demo","demo",0,"2012-01-17 00:00:00",81,0,0
373240,"Black Sails - The Ghost Ship","game",9.99,"2015-09-17 00:00:00",-1,0,0
400976,"Disney Infinity 3.0 - Disney Classics Pack","dlc",3.99,"2015-10-29 00:00:00",-1,0,0
